,,Sample Data - Power BI,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Sales Person,Geography,Product,Date,Amount,Customers,Boxes
,,Barr Faughny,  New Zealand,Raspberry Choco,01/01/2021,8414,276,495
,,Dennison Crosswaite,   Canada,White Choc,01/01/2021,532,317,54
,,Karlen McCaffrey,   USA,99% Dark & Pure,01/01/2021,5376,178,269
,,Barr Faughny,New Zealand,Baker's Choco Chips,01/01/2021,259,32,22
,,Beverie Moffet,   USA,Manuka Honey Choco,01/01/2021,5530,4,179
,,Rafaelita Blaksland,   India,85% Dark Bars,01/01/2021,2184,63,122
,,Oby Sorrel,   UK,Raspberry Choco,01/01/2021,1057,295,71
,,Dotty Strutley,  Australia,Organic Choco Syrup,01/01/2021,1036,370,37
,,Brien Boise,  Australia,Caramel Stuffed Bars,01/01/2021,4039,536,176
,,Curtice Advani,New Zealand,Milk Bars,01/01/2021,12894,115,478
,,Madelene Upcott, USA,Milk Bars,01/01/2021,4669,121,180
,,Wilone O'Kielt,   New Zealand,Organic Choco Syrup,01/01/2021,6377,184,246
,,Jehu Rudeforth,   Canada,Mint Chip Choco,01/01/2021,4599,106,256
,,Jehu Rudeforth,USA,Orange Choco,01/01/2021,2751,228,251
,,Brien Boise,  India,Eclairs,01/01/2021,15596,32,975
,,Curtice Advani,   India,After Nines,01/01/2021,8561,111,330
,,Camilla Castle, UK,Mint Chip Choco,01/01/2021,14273,335,752
,,Dennison Crosswaite, New Zealand,85% Dark Bars,01/01/2021,2506,99,148
,,Beverie Moffet,Canada,Spicy Special Slims,01/01/2021,2387,134,89
,,Andria Kimpton,   USA,Drinking Coco,01/01/2021,7553,67,280
,,Jehu Rudeforth,   New Zealand,Peanut Butter Cubes,01/01/2021,3409,93,171
,,Kelci Walkden,   USA,Peanut Butter Cubes,01/01/2021,3878,24,216
,,Karlen McCaffrey,  USA,Raspberry Choco,01/01/2021,3052,76,204
,,Madelene Upcott, USA,Choco Coated Almonds,01/04/2021,19229,64,1013
,,Kelci Walkden,  UK,Choco Coated Almonds,01/04/2021,1988,179,95
,,Karlen McCaffrey,UK,Orange Choco,01/04/2021,147,9,11
,,Oby Sorrel,  UK,Fruit & Nut Bars,01/04/2021,2401,407,134
,,Husein Augar,   USA,Caramel Stuffed Bars,01/04/2021,2814,296,94
,,Curtice Advani,  UK,Caramel Stuffed Bars,01/04/2021,5390,61,216
,,Van Tuxwell,Canada,50% Dark Bites,01/04/2021,3920,16,262
,,Beverie Moffet,Canada,70% Dark Bites,01/04/2021,7539,502,943
,,Van Tuxwell,  India,Organic Choco Syrup,01/05/2021,17248,163,664
,,Madelene Upcott,  UK,Almond Choco,01/05/2021,1176,152,66
,,Rafaelita Blaksland, Australia,85% Dark Bars,01/05/2021,9730,361,573
,,Marney O'Breen,   New Zealand,85% Dark Bars,01/05/2021,2226,129,140
,,Madelene Upcott,UK,Fruit & Nut Bars,01/05/2021,7063,250,643
,,Kaine Padly,New Zealand,After Nines,01/05/2021,7399,420,275
,,Wilone O'Kielt, USA,Orange Choco,01/05/2021,4284,230,306
,,Kaine Padly,   New Zealand,Raspberry Choco,01/05/2021,4865,168,271
,,Curtice Advani,  New Zealand,70% Dark Bites,01/05/2021,3780,111,315
,,Jan Morforth, India,Orange Choco,01/05/2021,3059,484,279
,,Husein Augar,  UK,After Nines,01/05/2021,6622,57,276
,,Wilone O'Kielt,India,Smooth Sliky Salty,01/06/2021,644,116,34
,,Ches Bonnell,India,After Nines,01/06/2021,4935,87,171
,,Jan Morforth,UK,Peanut Butter Cubes,01/06/2021,7182,29,378
,,Andria Kimpton,   Australia,Orange Choco,01/06/2021,539,10,77
,,Oby Sorrel,   UK,70% Dark Bites,01/06/2021,637,79,91
,,Kaine Padly,USA,Baker's Choco Chips,01/06/2021,1470,57,184
,,Brien Boise,  USA,85% Dark Bars,01/06/2021,1442,108,61
,,Husein Augar,  USA,Smooth Sliky Salty,01/06/2021,9023,224,564
,,Gunar Cockshoot, UK,Milk Bars,01/06/2021,2709,27,101
,,Beverie Moffet,  Canada,Choco Coated Almonds,01/07/2021,5733,193,338
,,Gigi Bohling, Canada,50% Dark Bites,01/07/2021,10451,155,1307
,,Madelene Upcott,   India,Manuka Honey Choco,01/07/2021,11228,236,388
,,Kelci Walkden,UK,Caramel Stuffed Bars,01/07/2021,3073,137,129
,,Andria Kimpton,  Australia,85% Dark Bars,01/07/2021,5467,109,288
,,Ches Bonnell,  USA,Smooth Sliky Salty,01/07/2021,4067,272,226
,,Dennison Crosswaite,   India,Mint Chip Choco,01/08/2021,2814,69,149
,,Roddy Speechley,New Zealand,Caramel Stuffed Bars,01/08/2021,2716,299,105
,,Jehu Rudeforth,   Australia,Orange Choco,01/08/2021,3570,61,325
,,Karlen McCaffrey, India,85% Dark Bars,01/08/2021,9562,123,479
,,Rafaelita Blaksland,New Zealand,Peanut Butter Cubes,01/08/2021,2373,2,104
,,Ches Bonnell, India,Caramel Stuffed Bars,01/08/2021,2807,236,123
,,Brien Boise,  USA,Milk Bars,01/08/2021,420,196,14
,,Curtice Advani,USA,Raspberry Choco,01/08/2021,8239,157,515
,,Gigi Bohling,  New Zealand,50% Dark Bites,01/08/2021,6797,114,486
,,Jehu Rudeforth,   New Zealand,85% Dark Bars,01/08/2021,6048,56,319
,,Gigi Bohling,  Australia,Raspberry Choco,01/08/2021,364,14,21
,,Beverie Moffet,Australia,White Choc,01/08/2021,6496,15,406
,,Roddy Speechley,   USA,Orange Choco,01/08/2021,1057,45,106
,,Ches Bonnell,   UK,Raspberry Choco,01/08/2021,357,185,17
,,Ches Bonnell, Australia,Drinking Coco,01/08/2021,6419,359,257
,,Ches Bonnell, Canada,Spicy Special Slims,01/08/2021,12726,179,579
,,Marney O'Breen,USA,85% Dark Bars,01/11/2021,6006,109,376
,,Kelci Walkden,UK,99% Dark & Pure,01/11/2021,5124,33,285
,,Van Tuxwell, New Zealand,Milk Bars,01/11/2021,2709,188,113
,,Barr Faughny,  Australia,Milk Bars,01/11/2021,7238,67,315
,,Curtice Advani,  India,White Choc,01/12/2021,6776,68,424
,,Husein Augar,UK,Milk Bars,01/12/2021,189,123,8
,,Ches Bonnell,  USA,Fruit & Nut Bars,01/12/2021,4669,217,390
,,Barr Faughny,  Canada,70% Dark Bites,01/12/2021,490,188,35
